app_tagline	Simple. Solid. Secure.	सरल. सटीक. सुरक्षित.	Simple. Solid. Secure.	ਸੌਖਾ. ਪੱਕਾ. ਸੁਰੱਖਿਅਤ.	ലളിതം. സോളിഡ്. സുരക്ഷിതം.
txn_invalid_amount	Invalid amount	अमान्य राशि	Invalid Amount	ਅਯੋਗ ਰਕਮ	അസാധുവായ തുക
txn_incorrect_password	Incorrect Password	गलत पासवर्ड	Galat Password	ਗ਼ਲਤ ਪਾਸਵਰਡ	പാസ്സ്‌വേർഡ്‌ തെറ്റാണ്
txn_give_credit_to	Give credit to	उधार दिया	Udhaar diya	ਉਧਾਰ ਦਿੱਤਾ	Credit നൽകുക
bill_attached	Bill attached	बिल जोड़ा गया	Bill joda gaya	ਬਿੱਲ ਜੋੜਿਆ ਗਿਆ	ബിൽ Attach ചെയ്തു
view	View	देखें	Dekhe	ਦੇਖੋ	കാണുക
txn_amount	Amount	राशि	Amount	ਰਕਮ	തുക
txn_return_successful	Return Successful	वापसी सफल	Waapsi Safal	ਵਾਪਸੀ ਸਫਲ	മടങ്ങുക
txn_final_balance	Final balance	अंतिम बैलेंस	Final balance	ਫਾਇਨਲ ਬੈਲੇਂਸ	അന്തിമ ബാലൻസ്
sms_sent_to_customer	SMS sent to customer	SMS भेज दिया गया	SMS bhej diya gaya	ਲੈਣ-ਦੇਣ ਫੋਨ ਤੇ ਰਿਕਾਰਡ ਕਿੱਤਾ ਗਯਾ	\SMS ഉപഭോക്താവിന് അയച്ചു \
txn_goto_home	Home	होमपेज	Home	ਹੋਮਪੇਜ	Home
txn_add_more	Add More	और जोड़ें	Aur jodiye	ਹੋਰ ਜੋੜੋ	കൂടുതൽ ചേർക്കുക
txn_failure_msg	There was some technical issue while processing your request	लेनदेन रिकॉर्ड करने में तकनिकी बाधा	Aapke request ko takniki badha ke karan abhi pura nahi kiya jaa saka	ਲੇਣ-ਦੇਣ ਰਿਕਾਰਡ ਕਰਣ ਵਿੱਚ ਤਕਨੀਕੀ ਬਾਧਾ	ചില സാങ്കേതിക പ്രശ്നങ്ങളുണ്ടായിരുന്നു
txn_timestamp_label	On	तारीख	ko	ਤਾਰੀਖ	On
txn_camera_permission_msg	Please allow camera permission for adding bill	बिल जोड़ने के लिए कैमरा परमिशन दें	Bill ki photo jodne ke liye camera permission de	ਬਿੱਲ ਜੋੜਣ ਲਯੀ ਕੈਮਰਾ ਪਰਮਿਸ਼ਨ ਦੋ	ബിൽ ചേർക്കുന്നതിന് ദയവായി ക്യാമറ അനുവാദം അനുവദിക്കുക
txn_add_credit_title	Give Credit	उधार दिया	Udhaar diya	ਉਧਾਰ ਦਿੱਤਾ	കടം നൽകുക
txn_add_payment_title	Accept Payment	पेमेंट लिया	Payment liya	ਜਮਾ ਕਿੱਤਾ	പണം സ്വീകരിക്കുക
txn_add_return_title	Return	वापसी	Return	ਵਾਪਸੀ	മടങ്ങുക
txn_confirm_title	Confirm	कन्फर्म	Pakka kare	ਕੰਫਰਮ	സ്ഥിരീകരിക്കുക
txn_accept_payment_from	Accept Payment from	पेमेंट लिया	se payment liya	ਜਮਾ ਕਿੱਤਾ	പേയ്മെന്റ് സ്വീകരിക്കുക
txn_return_amount_to	Return Amount to	वापसी करो	ko waapis kare	ਵਾਪਸੀ	മടങ്ങിവരുന്ന തുക
txn_credit_success_title	Credit Successful	उधार सफल	Udhaar Safal	ਉਧਾਰ ਸਫਲ	കടം വിജയകരമായി
txn_payment_success_title	Payment Successful	पेमेंट सफल	Payment Safal	ਜਮਾ ਸਫਲ	പണമടയ്ക്കൽ വിജയകരം
txn_return_success_title	Return Successful	वापसी सफल	Waapsi Safal	ਵਾਪਸੀ ਸਫਲ	മടങ്ങുക
txn_failure_title	Transaction Failed	लेन देन विफल	Len-Den Vifal	ਲੇਣ-ਦੇਣ ਵਿਫਲ	ഇടപാട് പരാജയപ്പെട്ടു
txn_credit_given_to	Credit Given to	उधार दिया	ko udhaar diya	ਉਧਾਰ ਦਿੱਤਾ	കടം നൽകി
txn_credit_title	Credit Given	उधार दिया	Udhaar diya	ਉਧਾਰ ਦਿੱਤਾ	കടം നൽകി
txn_payment_accepted_from	Payment Accepted from	पेमेंट लिया	se payment liya	ਜਮਾ ਕਿੱਤਾ	\പേയ്മെന്റ് സ്വീകരിച്ചു : \
txn_payment_title	Payment Accepted	पेमेंट लिया	Payment liya	ਜਮਾ ਕਿੱਤਾ	പെയ്മെന്റ് സ്വീകരിച്ചു
txn_returned_amount_to	Returned Amount to	वापसी किया	ko amount waapis kiya	ਵਾਪਸੀ	തിരിച്ചുകിട്ടുന്ന തുക
txn_return_title	Return	वापसी	Waapsi	ਵਾਪਸੀ	മടങ്ങുക
txn_receipt_available	Receipt available	बिल मौजूद	Bill joda gaya	ਬਿੱਲ ਮੌਜੂਦ	രസീതി ലഭ്യമാണ്
txn_receipt_not_available	Receipt not available	बिल मौजूद नहीं	Bina nahi joda gaya	ਬਿੱਲ ਨਹੀਂ ਹੈ	രസീതി ലഭ്യമല്ല
txn_return_desc	Return item or refund money to customer	ग्राहक से सामान वापस लें या उधार रिफंड करें	Saamaan waapis kare	ਕਸਟਮਰ ਤੋਂ ਸਾਮਾਨ ਵਾਪਸ ਲਓ ਜਾਂ ਉਧਾਰ ਰਿਫੰਡ ਕਰੋ	ഉപഭോക്താവിന് മടക്കി നൽകുകയോ റീഫണ്ട് ചെയ്യുകയോ ചെയ്യുക
txn_add_return_btn	Return	वापसी	Waapis	ਵਾਪਸੀ	മടങ്ങുക
txn_password_desc	Password stops others from modifying your account balance	पासवर्ड, आपके खाते को किसी बाहरी छेड़-छाड़ से बचाता है	Password, dusro ko aapka khaata dekhne se bachata hai	ਪਾਸਵਰਡ ਕਿਸੀ ਹੋਰ ਹੱਥੋਂ ਤੁਹਾਡੇ ਅਕਾਊਂਟ ਦੇ ਬੈਲੇਂਸ ਨੂੰ ਬਦਲਣ ਤੋਂ ਰੋਕਦਾ ਹੈ	പാസ്സ്‌വേർഡ്‌ നിങ്ങളുടെ അക്കൗണ്ട് ബാലൻസ് modify ചെയ്യുന്നതിൽ  നിന്ന് മറ്റുള്ളവരെ തടയുന്നു
ok	OK	OK	OK	OK	ശരി
balance	Balance	उधार	Udhaar	ਬੈਲੇਂਸ	ബാലൻസ്
advance	Advance	जमा	Advance	ਐਡਵਾਂਸ	അഡ്വാൻസ്
cancel	Cancel	 रद्द करें	Cancel	ਕੈਂਸਲ	റദ്ദാക്കുക
password	Password	पासवर्ड	Password	ਪਾਸਵਰਡ	Password
help	Question-Answer	सवाल-जवाब	Sawaal-Jawaab	ਸਵਾਲ-ਜਵਾਬ	ചോദ്യോത്തരങ്ങൾ
tx_credit	Credit	उधार	Udhaar	ਉਧਾਰ ਦਿੱਤਾ	കടം
tx_payment	Payment	पेमेंट	Payment	ਜਮਾ ਕਿੱਤਾ	പേയ്മെന്റ്
tx_return	Return	रिटर्न	Waapis	ਸਮਾਨ ਵਾਪਸੀ	മടങ്ങുക
next	Next	OK	Next	OK	അടുത്തത്
done	Done	OK	Ho Gaya	OK	ചെയ്തുകഴിഞ്ഞു
try_again	Try Again	दोबारा प्रयास करें	Dobara Koshish Kare	ਦੋਬਾਰਾ ਕੋਸ਼ਿਸ਼ ਕਰੋ	വീണ്ടും ശ്രമിക്ക്
mobile	Mobile	मोबाइल	Mobile	ਮੋਬਾਇਲ	മൊബൈൽ
